#,Company,Brand,Parent_or_Independent,Website,Functionality,Geography,Is_Relevant,Summary
=== Component Suppliers (16) ===
1,Amperex Technology Limited,ATL,Independent,https://atl-battery.com,Supplies lithium-ion polymer batteries to smartphone makers,global,yes,Amperex Technology Limited (ATL) manufactures lithium-ion polymer batteries. It supplies batteries to major smartphone brands like Apple and Samsung. The company focuses on battery technology for mobile devices.
2,Arrow Electronics,Arrow Electronics,,https://arrow.com,Distributes electronic components for smartphone manufacturing,global,yes,Arrow Electronics is a global distributor of electronic components and enterprise computing solutions. It supplies components that may be used in smartphone manufacturing. The company operates a vast logistics network to deliver these parts to manufacturers. Arrow's role is to bridge component suppliers and smartphone OEMs.
3,"BOE Technology Group Co., Ltd.",BOE,Independent,https://boe.com,Supplies OLED and LCD display panels for smartphones,global,yes,"BOE Technology Group is a global supplier of display panels, including OLED and LCD screens. It provides high-resolution and flexible display solutions to major smartphone brands. The company is a key player in the display component market."
4,Cnoems,Cnoems,Subsidiary of ELEPHONE group,cnoems.com,Supplies custom electronic components for smartphones,global,yes,Cnoems manufactures custom electronic components and assemblies for smartphone OEMs and ODMs.
5,Huayinnlcd,Huayinnlcd,Independent,huayinnlcd.com,Supplies LCD displays and touchscreen modules,global,yes,Huayinnlcd manufactures LCD displays and touchscreen modules for smartphones. It supplies components to device manufacturers and repair markets. The company focuses on display technology for mobile devices.
6,Ietcharger,IETGZ,Independent,ietcharger.com,Manufactures chargers and power adapters for smartphones,global,yes,Ietcharger manufactures chargers and power adapters for smartphones and other mobile devices. It supplies these components to smartphone brands or aftermarket channels.
7,Keyuda,Keyuda,Independent,keyuda.panelook.com,Supplies LCD panels for smartphone displays,global,yes,Keyuda supplies LCD panels and display modules used in smartphones and other mobile devices.
8,Kingtechlcd,Kingtech,Independent,kingtechlcd.com,Provides display modules to OEMs and ODMs,global,yes,Kingtechlcd manufactures LCD and OLED display modules for smartphones and other electronic devices. It serves OEMs and ODMs in the mobile industry. The company provides display solutions for smartphone production.
9,Kyocera AVX,KYOCERA AVX,Subsidiary of Kyocera,kyocera-avx.com,Supplies passive components and interconnects,global,yes,Kyocera AVX supplies passive electronic components and interconnect solutions used in smartphones and other mobile devices. It provides essential parts for device assembly.
10,Largan Precision,Largan Precision,Independent,https://www.largan.com.tw,Supplies camera lens modules and optical components,global,yes,Largan Precision is a leading manufacturer of camera lens modules and optical components for smartphones. It supplies these components to major smartphone brands globally. The company focuses on high-precision optics.
11,LG Innotek,LG Innotek,Subsidiary of LG Corporation,https://www.lginnotek.com,Manufactures camera modules and electronic components,global,yes,LG Innotek manufactures advanced camera modules and electronic components for smartphones. It supplies these components to major smartphone brands globally. The company specializes in imaging and sensing technologies.
12,"Micron Technology, Inc.",Micron,Independent,micron.com,Supplies memory and storage solutions,global,yes,"Micron manufactures memory and storage solutions, including DRAM and NAND flash, used in smartphones and other mobile devices. It supplies components to smartphone OEMs and ODMs."
13,Qualcomm,Qualcomm,Independent,https://qualcomm.com,Supplies chipsets and modems for smartphones,global,yes,"Qualcomm designs and supplies chipsets, modems, and wireless technology for smartphones and other mobile devices. It licenses its intellectual property to device manufacturers globally."
14,Samsung Display,Samsung Display,Subsidiary of Samsung Electronics,samsungdisplay.com,Supplies OLED and LCD display panels for smartphones,global,yes,"Samsung Display manufactures advanced display panels, including OLED and LCD screens, for smartphone brands and other device makers globally. It is a major supplier of display technology. The company provides high-quality screens for mobile devices."
15,SK Hynix,SK Hynix,Subsidiary of SK Group,skhynix.com,Supplies DRAM and NAND flash memory chips,global,yes,"SK Hynix is a semiconductor supplier that manufactures memory chips, including DRAM and NAND flash, used in smartphones. It serves smartphone OEMs and other electronics manufacturers. The company is a key memory component provider."
16,Sony Semiconductor Solutions Corporation,Sony Semiconductor Solutions,Subsidiary of Sony Group Corporation,https://sony-semicon.com,Supplies image sensors and camera modules,global,yes,Sony Semiconductor Solutions designs and manufactures image sensors and camera modules used in smartphones. It is a leading supplier to major smartphone brands globally. The company specializes in imaging technology.

=== Original Design Manufacturers (ODMs) and Electronics Manufacturing Services (EMS) (4) ===
1,"Hon Hai Precision Industry Co., Ltd.",Foxconn,Independent,https://foxconn.com,Assembles smartphones for major brands,global,yes,"Foxconn is the world's largest electronics manufacturer, assembling smartphones and other devices for major brands like Apple, Samsung, and Xiaomi. It provides end-to-end design, manufacturing, and logistics services."
2,Pegatron Corporation,Pegatron,Independent,https://www.pegatroncorp.com,Designs and manufactures smartphones for brands,global,yes,"Pegatron is a major ODM/EMS provider that designs and manufactures smartphones for leading brands, handling assembly, testing, and supply chain logistics."
3,Wingtech Group,Wingtech Group,Independent,https://www.wingtech.com,Designs and manufactures smartphones for brands,global,yes,Wingtech Group is a leading ODM/EMS provider that designs and manufactures smartphones and other electronic devices for global brands. It offers end-to-end services from product design to mass production and logistics.
4,Wistron Corporation,Wistron,Independent,https://www.wistron.com,Designs and manufactures smartphones for brands,global,yes,Wistron is a Taiwan-based ODM/EMS provider that designs and manufactures smartphones for major brands. It offers end-to-end services from product design to assembly and logistics.

=== Smartphone Brands (OEMs) (10) ===
1,Agmmobile,Agmmobile,,https://agmmobile.com,Designs and sells rugged smartphones for outdoor use,global,yes,AGM Mobile specializes in rugged smartphones designed for outdoor and industrial environments. The company produces devices with enhanced durability features such as water resistance and shockproofing. AGM Mobile markets its products to users requiring robust devices.
